0xed7d:retn
0xed7e:im 2
0xeda0:ldi
0xeda1:cpi
0xeda2:ini
0xeda3:outi
0xeda8:ldd
0xeda9:cpd
0xedaa:ind
0xedab:outd
0xedb0:ldir
0xedb1:cpir
0xedb2:inir
0xedb3:otir
0xedb8:lddr
0xedb9:cpdr
0xedba:indr
0xedbb:otdr
0xcb00:rlc b
0xcb01:rlc c
0xcb02:rlc d
0xcb03:rlc e
0xcb04:rlc h
0xcb05:rlc l
0xcb06:rlc (hl)
0xcb07:rlc a
0xcb08:rrc b
0xcb09:rrc c
0xcb0a:rrc d
0xcb0b:rrc e
0xcb0c:rrc h
0xcb0d:rrc l
0xcb0e:rrc (hl)
0xcb0f:rrc a
0xcb10:rl b
0xcb11:rl c
0xcb12:rl d
0xcb13:rl e
0xcb14:rl h
0xcb15:rl l
0xcb16:rl (hl)
0xcb17:rl a
0xcb18:rr b
0xcb19:rr c
0xcb1a:rr d
0xcb1b:rr e
0xcb1c:rr h
0xcb1d:rr l
0xcb1e:rr (hl)
0xcb1f:rr a
0xcb20:sla b
0xcb21:sla c
0xcb22:sla d
0xcb23:sla e
0xcb24:sla h
0xcb25:sla l
0xcb26:sla (hl)
0xcb27:sla a
0xcb28:sra b
0xcb29:sra c
0xcb2a:sra d
0xcb2b:sra e
0xcb2c:sra h
0xcb2d:sra l
0xcb2e:sra (hl)
0xcb2f:sra a
0xcb30:sll b
0xcb31:sll c
0xcb32:sll d
0xcb33:sll e
0xcb34:sll h
0xcb35:sll l
0xcb36:sll (hl)
0xcb37:sll a
0xcb38:srl b
0xcb39:srl c
0xcb3a:srl d
0xcb3b:srl e
0xcb3c:srl h
0xcb3d:srl l
0xcb3e:srl (hl)
0xcb3f:srl a
0xcb40:bit 0,b
0xcb41:bit 0,c
0xcb42:bit 0,d
0xcb43:bit 0,e
0xcb44:bit 0,h
0xcb45:bit 0,l
0xcb46:bit 0,(hl)
0xcb47:bit 0,a
0xcb48:bit 1,b
0xcb49:bit 1,c
0xcb4a:bit 1,d
0xcb4b:bit 1,e
0xcb4c:bit 1,h
0xcb4d:bit 1,l
0xcb4e:bit 1,(hl)
0xcb4f:bit 1,a
0xcb50:bit 2,b
0xcb51:bit 2,c
0xcb52:bit 2,d
0xcb53:bit 2,e
0xcb54:bit 2,h
0xcb55:bit 2,l
0xcb56:bit 2,(hl)
0xcb57:bit 2,a
0xcb58:bit 3,b
0xcb59:bit 3,c
0xcb5a:bit 3,d
0xcb5b:bit 3,e
0xcb5c:bit 3,h
0xcb5d:bit 3,l
0xcb5e:bit 3,(hl)
0xcb5f:bit 3,a
0xcb60:bit 4,b
0xcb61:bit 4,c
0xcb62:bit 4,d
0xcb63:bit 4,e
0xcb64:bit 4,h
0xcb65:bit 4,l
0xcb66:bit 4,(hl)
0xcb67:bit 4,a
0xcb68:bit 5,b
0xcb69:bit 5,c
0xcb6a:bit 5,d
0xcb6b:bit 5,e
0xcb6c:bit 5,h
0xcb6d:bit 5,l
0xcb6e:bit 5,(hl)
0xcb6f:bit 5,a
0xcb70:bit 6,b
0xcb71:bit 6,c
0xcb72:bit 6,d
0xcb73:bit 6,e
0xcb74:bit 6,h
0xcb75:bit 6,l
0xcb76:bit 6,(hl)
0xcb77:bit 6,a
0xcb78:bit 7,b
0xcb79:bit 7,c
0xcb7a:bit 7,d
0xcb7b:bit 7,e
0xcb7c:bit 7,h
0xcb7d:bit 7,l
0xcb7e:bit 7,(hl)
0xcb7f:bit 7,a
0xcb80:res 0,b
0xcb81:res 0,c
0xcb82:res 0,d
0xcb83:res 0,e
0xcb84:res 0,h
0xcb85:res 0,l
0xcb86:res 0,(hl)
0xcb87:res 0,a
0xcb88:res 1,b
0xcb89:res 1,c
0xcb8a:res 1,d
0xcb8b:res 1,e
0xcb8c:res 1,h
0xcb8d:res 1,l
0xcb8e:res 1,(hl)
0xcb8f:res 1,a
0xcb90:res 2,b
0xcb91:res 2,c
0xcb92:res 2,d
0xcb93:res 2,e
0xcb94:res 2,h
0xcb95:res 2,l
0xcb96:res 2,(hl)
0xcb97:res 2,a
0xcb98:res 3,b
0xcb99:res 3,c
0xcb9a:res 3,d
0xcb9b:res 3,e
0xcb9c:res 3,h
0xcb9d:res 3,l
0xcb9e:res 3,(hl)
0xcb9f:res 3,a
0xcba0:res 4,b
0xcba1:res 4,c
0xcba2:res 4,d
0xcba3:res 4,e
0xcba4:res 4,h
0xcba5:res 4,l
0xcba6:res 4,(hl)
0xcba7:res 4,a
0xcba8:res 5,b
0xcba9:res 5,c
0xcbaa:res 5,d
0xcbab:res 5,e
0xcbac:res 5,h
0xcbad:res 5,l
0xcbae:res 5,(hl)
0xcbaf:res 5,a
0xcbb0:res 6,b
0xcbb1:res 6,c
0xcbb2:res 6,d
0xcbb3:res 6,e
0xcbb4:res 6,h
0xcbb5:res 6,l
0xcbb6:res 6,(hl)
0xcbb7:res 6,a
0xcbb8:res 7,b
0xcbb9:res 7,c
0xcbba:res 7,d
0xcbbb:res 7,e
0xcbbc:res 7,h
0xcbbd:res 7,l
0xcbbe:res 7,(hl)
0xcbbf:res 7,a
0xcbc0:set 0,b
0xcbc1:set 0,c
0xcbc2:set 0,d
0xcbc3:set 0,e
0xcbc4:set 0,h
0xcbc5:set 0,l
0xcbc6:set 0,(hl)
0xcbc7:set 0,a
0xcbc8:set 1,b
0xcbc9:set 1,c
0xcbca:set 1,d
0xcbcb:set 1,e
0xcbcc:set 1,h
0xcbcd:set 1,l
0xcbce:set 1,(hl)
0xcbcf:set 1,a
0xcbd0:set 2,b
0xcbd1:set 2,c
0xcbd2:set 2,d
0xcbd3:set 2,e
0xcbd4:set 2,h
0xcbd5:set 2,l
0xcbd6:set 2,(hl)
0xcbd7:set 2,a
0xcbd8:set 3,b
0xcbd9:set 3,c
0xcbda:set 3,d
0xcbdb:set 3,e
0xcbdc:set 3,h
0xcbdd:set 3,l
0xcbde:set 3,(hl)
0xcbdf:set 3,a
0xcbe0:set 4,b
0xcbe1:set 4,c
0xcbe2:set 4,d
0xcbe3:set 4,e
0xcbe4:set 4,h
0xcbe5:set 4,l
0xcbe6:set 4,(hl)
0xcbe7:set 4,a
0xcbe8:set 5,b
0xcbe9:set 5,c
0xcbea:set 5,d
0xcbeb:set 5,e
0xcbec:set 5,h
0xcbed:set 5,l
0xcbee:set 5,(hl)
0xcbef:set 5,a
0xcbf0:set 6,b
0xcbf1:set 6,c
0xcbf2:set 6,d
0xcbf3:set 6,e
0xcbf4:set 6,h
0xcbf5:set 6,l
0xcbf6:set 6,(hl)
0xcbf7:set 6,a
0xcbf8:set 7,b
0xcbf9:set 7,c
0xcbfa:set 7,d
0xcbfb:set 7,e
0xcbfc:set 7,h
0xcbfd:set 7,l
0xcbfe:set 7,(hl)
0xcbff:set 7,a
0xdd09:add ix,bc
0xdd19:add ix,de
0xdd21:ld ix,**
0xdd22:ld (**),ix
0xdd23:inc ix
0xdd24:inc ixh
0xdd25:dec ixh
0xdd26:ld ixh,*
0xdd29:add ix,ix
